@relation strike-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute year numeric
@attribute unemployment numeric
@attribute inflation numeric
@attribute representation numeric
@attribute centralization numeric
@attribute volume {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,52,54,56,57,58,59,60,61,62,63,64,66,68,69,70,71,72,73,74,75,76,80,81,82,84,86,88,89,90,93,94,95,96,97,98,100,101,103,104,105,106,107,109,112,114,115,117,118,119,122,127,128,129,131,133,134,135,139,141,142,143,146,149,151,152,153,155,157,158,160,166,167,168,170,171,173,174,175,176,177,178,179,181,182,183,184,186,187,189,191,192,195,196,197,198,203,207,208,210,211,215,216,217,220,225,226,227,228,232,235,237,239,241,242,243,248,249,251,252,255,257,259,260,262,265,266,267,271,272,273,277,279,281,282,284,286,288,289,291,294,296,298,299,300,303,306,311,313,315,317,319,323,324,325,326,327,328,335,336,337,341,352,354,356,360,361,362,363,366,370,372,373,379,380,381,382,383,385,390,393,397,399,400,403,407,408,410,413,416,421,434,437,438,439,448,454,456,462,466,470,472,480,483,488,493,501,503,504,511,515,520,521,527,529,545,557,559,571,574,589,591,605,612,615,616,618,625,632,633,636,645,647,668,675,684,702,705,719,720,723,732,752,754,760,762,765,773,778,779,789,792,794,796,803,807,826,836,841,849,888,894,930,934,940,945,946,961,1032,1041,1056,1061,1080,1098,1108,1121,1125,1129,1149,1150,1163,1190,1236,1245,1252,1256,1272,1278,1303,1304,1310,1359,1381,1405,1437,1453,1486,1566,1632,1698,1752,1774,1799,1870,1918,2001,2462,2875,5568,5918,7000}

@data
1976,1.7,7.3,50.8,1,0
1977,1.6,5.5,50.8,1,0
1978,1.8,3.6,50.8,1,4
1979,1.7,3.7,51.9,1,0
1980,1.6,6.3,51.9,1,6
1981,2.1,6.8,51.9,1,1
1982,3.1,5.4,51.9,1,0
1983,3.8,3.3,49.2,1,0
1984,3.9,5.7,49.2,1,0
1985,4.1,3.2,49.2,1,8
1951,4.5,9.6,39.6,0.75,242
1952,5.2,0.9,39.6,0.75,356
1953,5.5,-0.3,39.6,0.75,170
1954,5.2,1.3,42.5,0.75,182
1955,4,-0.5,42.5,0.75,403
1956,2.9,2.8,42.5,0.75,372
1957,2.4,3.2,42.5,0.75,1453
1958,3.4,1.3,40.6,0.75,114
1959,4.1,1.2,40.6,0.75,383
1960,3.4,0.3,40.6,0.75,129
1961,2.7,1,42,0.75,35
1962,2.1,1.4,42,0.75,100
1963,1.7,2.2,42,0.75,90
1964,1.5,4.2,42,0.75,157
1965,1.7,4.1,33,0.75,25
1966,1.8,4.2,33,0.75,189
1967,2.5,2.9,33,0.75,64
1968,2.9,2.7,30.2,0.75,129
1969,2.3,3.8,30.2,0.75,56
1970,1.9,3.9,30.2,0.75,483
1971,1.8,4.3,30.2,0.75,410
1972,2.3,5.5,31.1,0.75,117
1973,2.3,7,31.1,0.75,282
1974,2.4,12.7,29.7,0.75,184
1975,4.4,12.8,29.7,0.75,196
1976,5.8,9.2,29.7,0.75,291
1977,6.6,7.1,30.2,0.75,216
1978,7.1,4.5,30.2,0.75,325
1979,7.3,4.5,29.3,0.75,197
1980,7.7,6.7,29.3,0.75,69
1951,2.4,10.4,78.7,0,242
1952,2.9,2.5,78.7,0,5918
1953,2.9,-0.9,73.5,0,335
1954,4.5,0.6,73.5,0,372
1955,4.3,0.2,73.5,0,454
1956,3.3,1.4,73.5,0,284
1957,4.5,3.2,49,0,325
1958,6.9,2.6,21.5,0,618
1959,5.9,1.1,21.5,0,470
1960,6.9,1.3,21.5,0,153
1961,7.1,0.9,21.5,0,28
1962,5.4,1.2,44.9,0,279
1963,5.1,1.8,55.1,0,175
1964,4.3,1.8,55.1,0,289
1965,3.6,2.5,57.3,0,408
1966,3.3,3.7,57.3,0,849
1967,3.8,3.6,57.3,0,612
1968,4.4,4.1,67,0,762
1969,4.4,4.5,67,0,1125
1970,5.6,3.4,67,0,934
1971,6.1,2.8,67,0,399
1972,6.2,4.8,53,0,1041
1973,5.5,7.6,53,0,732
1974,5.3,10.9,59,0,1121
1975,6.9,10.8,59,0,1303
1976,7.1,7.5,59,0,1359
1977,8,8,59,0,381
1978,8.3,8.9,59,0,826
1979,7.4,9.1,49.6,0,841
1980,7.4,10.2,63.4,0,930
1981,7.5,12.5,63.4,0,894
1982,10.9,10.8,63.4,0,605
1983,11.8,5.8,63.4,0,462
1984,11.2,4.3,24.8,0,393
1985,10.4,4,24.8,0,315
1951,9.7,10.5,44.6,0.5,3
1952,12.5,3.8,44.6,0.5,3
1953,9.2,0.9,45.6,0.5,2
1954,9,0,46.9,0.5,17
1955,9.7,5.5,46.9,0.5,7
1956,11.1,6,46.9,0.5,789
1957,9.9,2.7,43.4,0.5,5
1958,9.2,0.7,43.4,0.5,6
1959,5.9,1.7,43.4,0.5,12
1960,4.2,1.3,43.4,0.5,41
1961,3.3,3.5,49.7,0.5,1486
1962,1.8,7.4,49.7,0.5,9
1963,2,6.1,49.7,0.5,15
1964,1.4,3.1,49.7,0.5,11
1965,1.2,5.5,49.1,0.5,143
1966,1.4,7.1,50.9,0.5,9
1967,1.2,8.2,50.9,0.5,6
1968,1.2,8,44,0.5,19
1969,1.1,3.5,44,0.5,31
1970,0.7,6.5,44,0.5,56
1971,1.1,5.9,44,0.5,11
1972,0.9,6.6,49.7,0.5,11
1973,0.9,9.3,49.7,0.5,2001
1974,3.5,15.3,36,0.5,94
1975,4.9,9.6,41.7,0.5,52
1976,6.3,9,41.7,0.5,107
1977,7.3,11.1,48,0.5,115
1978,8.3,10,48,0.5,64
1979,6,9.6,48,0.5,84
1980,6.5,12.3,48.6,0.5,90
1981,10.3,11.7,48.6,0.5,319
1982,11,10.1,48,0.5,45
1983,11.4,6.9,48,0.5,38
1984,8.5,6.3,46.9,0.5,62
1985,7.3,4.7,46.9,0.5,1056
1951,0.1,16.3,26.5,0.75,288
1952,0.1,1,26.5,0.75,47
1953,0.3,2,26.5,0.75,54
1954,0.1,0,27,0.75,96
1955,0.1,-2.9,27,0.75,281
1956,0.1,11,27,0.75,5568
1957,0.3,11.3,27,0.75,174
1958,0.4,6.6,27,0.75,35
1959,2.3,1.5,25.5,0.75,323
1960,1.5,3.2,25.5,0.75,71
1961,1.2,1.8,25.5,0.75,30
1962,1.3,4.5,20,0.75,23
1963,1.5,4.9,20,0.75,961
1964,1.5,10.4,20,0.75,39
1965,1.4,4.8,20,0.75,11
1966,1.5,3.9,31,0.75,80
1967,2.9,5.6,31,0.75,211
1968,3.8,9.2,31,0.75,186
1969,2.8,2.2,31,0.75,104
1970,1.9,2.7,26,0.75,100
1971,2.2,6.5,26,0.75,143
1972,2.5,7.1,27.5,0.75,1632
1973,2.3,11,27.5,0.75,272
1974,1.7,16.7,27.5,0.75,239
1975,2.2,17.8,27.5,0.75,155
1976,3.8,14.4,27,0.75,684
1977,5.8,12.7,27,0.75,1310
1978,7.2,7.8,27,0.75,73
1979,5.9,7.5,26,0.75,131
1980,4.6,11.6,26,0.75,836
1981,5.1,12,26,0.75,337
1982,5.8,9.6,26,0.75,105
1983,6.1,8.4,28.5,0.75,361
1984,4.9,7.1,28.5,0.75,754
1985,4.8,5.9,28.5,0.75,84
1951,0.6,17.7,49.3,0,299
1952,0.7,12,49.3,0,146
1953,0.9,-1.9,49.3,0,807
1954,1.6,0.4,49.3,0,119
1955,1.5,1,49.3,0,251
1956,1.1,4.3,56.6,0,114
1957,0.8,-0.8,56.6,0,324
1958,0.9,15.3,56.6,0,88
1959,1.3,5.7,16.6,0,151
1960,1.2,4.2,16.6,0,82
1961,1.1,2.4,16.6,0,198
1962,1.1,5.2,16.6,0,142
1963,1.2,5.1,32.4,0,434
1964,0.9,3.2,32.4,0,176
1965,1.2,2.7,32.4,0,69
1966,1.2,2.6,32.4,0,174
1967,1.6,2.8,41,0,282
1968,2.6,4.6,19.1,0,7000
1969,2.3,6.1,19.1,0,143
1970,2.4,5.9,19.1,0,109
1971,2.6,5.5,19.1,0,271
1972,2.7,6.2,19.1,0,228
1973,2.6,7.3,36.9,0,232
1974,2.8,13.7,36.9,0,197
1975,4.1,11.8,36.9,0,227
1976,4.4,9.6,36.9,0,235
1977,4.9,9.4,36.9,0,139
1978,5.2,9.1,41.7,0,118
1979,5.9,10.8,41.7,0,179
1980,6.3,13.3,41.7,0,86
1981,7.4,13.4,68.4,0,82
1982,8.1,11.8,68.4,0,127
1983,8.3,9.6,68.4,0,74
1984,9.7,7.4,68.4,0,75
1985,10.2,5.8,68.4,0,41
1951,6.4,7.7,36.3,0.25,112
1952,6.1,2.1,36.3,0.25,29
1953,5.5,-1.9,36.3,0.25,95
1954,5.2,0.2,31,0.25,98
1955,3.9,1.7,31,0.25,50
1956,3.1,2.6,31,0.25,89
1957,2.7,2.1,31,0.25,59
1958,2.7,2.1,34,0.25,43
1959,1.9,1,34,0.25,3
1960,0.9,1.5,34,0.25,2
1961,0.6,2.3,34,0.25,3
1962,0.6,2.9,38.1,0.25,22
1963,0.7,3,38.1,0.25,88
1964,0.6,2.4,38.1,0.25,1
1965,0.5,3.2,38.1,0.25,2
1966,0.6,3.6,40.7,0.25,1
1967,1.7,1.6,40.7,0.25,19
1968,1.2,1.6,40.7,0.25,1
1969,0.7,1.9,40.7,0.25,12
1970,0.6,3.4,45.2,0.25,4
1971,0.7,5.2,45.2,0.25,203
1972,0.9,5.5,45.2,0.25,3
1973,1,7,46.4,0.25,25
1974,2.1,7,46.4,0.25,48
1975,4,5.9,46.4,0.25,3
1976,4,4.3,46.4,0.25,25
1977,3.9,3.7,43.2,0.25,1
1978,3.7,2.7,43.2,0.25,197
1979,3.3,4.1,43.2,0.25,22
1980,3.3,5.4,43.2,0.25,6
1981,4.6,6.3,43.9,0.25,3
1982,6.7,5.3,43.9,0.25,1
1983,8.2,3.3,38.8,0.25,2
1984,8.2,2.4,38.8,0.25,260
1985,8.3,2.2,38.8,0.25,2
1951,7.3,7.9,10.88,0.5,773
1952,9.1,9.2,10.88,0.5,752
1953,9.6,5,10.88,0.5,117
1954,8.1,0,12.92,0.5,95
1955,6.8,2.6,12.92,0.5,336
1956,7.7,4.3,12.92,0.5,70
1957,9.2,4.1,8.16,0.5,135
1958,8.6,4.5,8.16,0.5,187
1959,8,0,8.16,0.5,181
1960,6.7,0.4,8.16,0.5,115
1961,5.7,2.7,11.11,0.5,589
1962,5.7,4.2,11.11,0.5,160
1963,6.1,2.5,11.11,0.5,354
1964,4.7,6.7,11.11,0.5,794
1965,4.6,5,15.27,0.5,796
1966,4.7,3.1,15.27,0.5,1129
1967,5,3.2,15.27,0.5,262
1968,5.3,4.7,15.27,0.5,574
1969,5,7.4,12.5,0.5,1304
1970,5.8,8.2,12.5,0.5,1405
1971,5.5,9,12.5,0.5,379
1972,6.2,8.7,12.5,0.5,284
1973,5.7,11.4,13.19,0.5,277
1974,5.3,17,13.19,0.5,720
1975,7.3,20.9,13.19,0.5,390
1976,9,18,13.19,0.5,1032
1977,8.8,13.6,11.48,0.5,571
1978,8.2,7.6,11.48,0.5,765
1979,7.1,13.2,11.48,0.5,1752
1980,7.3,18.2,11.48,0.5,480
1981,9.9,20.4,9.04,0.5,503
1982,11.4,17.1,9.04,0.5,504
1983,14,10.5,9.64,0.5,382
1984,15.6,8.6,9.64,0.5,472
1985,17,5.4,9.64,0.5,521
1951,8.8,14.3,37.5,0.25,437
1952,9.5,1.9,37.5,0.25,337
1953,10,1.4,40.2,0.25,545
1954,8.7,2.4,40.2,0.25,493
1955,7.5,2.3,40.2,0.25,511
1956,9.3,3.4,40.2,0.25,372
1957,7.4,1.1,40.2,0.25,407
1958,6.4,3.2,41.4,0.25,363
1959,5.4,0,41.4,0.25,792
1960,4,2.1,41.4,0.25,483
1961,3.4,2,41.4,0.25,803
1962,4.4,5,41.4,0.25,1799
1963,3.8,6.7,40.2,0.25,888
1964,4.2,6.3,40.2,0.25,1256
1965,5.3,4.2,40.2,0.25,557
1966,5.7,2.4,40.2,0.25,1163
1967,5.3,1.3,40.2,0.25,675
1968,5.6,1.2,42.5,0.25,719
1969,5.6,2.6,42.5,0.25,2875
1970,5.3,5,42.5,0.25,1566
1971,5.3,4.9,42.5,0.25,1098
1972,6.3,5.7,42.7,0.25,1437
1973,6.2,10.8,42.7,0.25,1698
1974,5.3,19.1,42.7,0.25,1381
1975,5.8,17,42.7,0.25,1918
1976,6.6,16.7,48.6,0.25,1774
1977,7,18.5,48.6,0.25,1149
1978,7.1,12,48.6,0.25,702
1979,7.6,14.8,48.6,0.25,1870
1980,7.5,21.3,48.6,0.25,1108
1981,7.8,19.5,48.6,0.25,705
1982,8.4,16.5,48.6,0.25,1245
1983,9.3,14.6,47.8,0.25,945
1984,9.7,10.8,47.8,0.25,591
1985,9.9,9.2,47.8,0.25,257
1951,1.1,16.5,17.8,0.125,439
1952,1.2,5,23.6,0.125,1061
1953,1.3,6.6,29.8,0.125,286
1954,1.7,6.5,29.8,0.125,249
1955,1.8,-1,34.1,0.125,215
1956,1.7,0,34.1,0.125,262
1957,1.4,3.3,34.1,0.125,300
1958,1.4,-0.4,35.8,0.125,306
1959,1.5,1,35.8,0.125,279
1960,1.1,3.6,35.3,0.125,216
1961,1,5.4,35.3,0.125,259
1962,1.3,6.8,35.3,0.125,216
1963,1.2,7.7,36.8,0.125,105
1964,1.2,3.8,36.8,0.125,115
1965,1.2,6.6,36.8,0.125,197
1966,1.3,5.1,36.8,0.125,9
1967,1.3,4,36,0.125,60
1968,1.2,5.4,36,0.125,90
1969,1.1,5.2,27.8,0.125,114
1970,1.1,7.7,27.8,0.125,118
1971,1.2,6.3,27.8,0.125,177
1972,1.4,4.9,35.6,0.125,149
1973,1.3,11.6,35.6,0.125,127
1974,1.4,23.2,35.6,0.125,266
1975,1.9,11.8,35.6,0.125,220
1976,2,9.4,33.1,0.125,88
1977,2,8.2,33.1,0.125,40
1978,2.2,4.2,33.1,0.125,36
1979,2.1,3.7,35.3,0.125,24
1980,2,7.7,32.9,0.125,25
1981,2.2,5,32.9,0.125,14
1982,2.4,2.7,32.9,0.125,13
1983,2.6,1.9,34.1,0.125,12
1984,2.7,2.3,34.1,0.125,8
1985,2.6,2,34.1,0.125,6
1951,2.4,11.9,35,0.75,24
1952,3.5,0,36,0.75,11
1953,2.5,0,36,0.75,10
1954,1.8,4,36,0.75,20
1955,1.3,1.9,36,0.75,44
1956,0.9,1.9,38,0.75,68
1957,1.2,6.1,38,0.75,2
1958,2.3,2.2,35.3,0.75,12
1959,1.8,1.1,35.3,0.75,4
1960,1.1,2.3,35.3,0.75,142
1961,0.8,1.3,35.3,0.75,7
1962,0.5,2.3,35.3,0.75,3
1963,0.6,3.3,34,0.75,11
1964,0.5,5.8,34,0.75,12
1965,0.5,5.8,34,0.75,15
1966,0.8,5.8,34,0.75,3
1967,1.6,3.5,30.7,0.75,2
1968,1.4,3.7,30.7,0.75,4
1969,1,7.4,30.7,0.75,6
1970,1,3.7,30.7,0.75,66
1971,1.3,7.5,31.3,0.75,25
1972,2.2,7.8,31.3,0.75,33
1973,2.2,8,34.7,0.75,141
1974,2.7,9.6,34.7,0.75,2
1975,5.2,10.2,34.7,0.75,0
1976,5.5,9.1,34.7,0.75,3
1977,5.3,6.5,37.3,0.75,57
1978,5.3,4.1,37.3,0.75,1
1979,5.4,4.2,37.3,0.75,68
1980,6,6.5,37.3,0.75,13
1981,8.6,6.8,33.3,0.75,5
1982,11.4,5.9,33.3,0.75,49
1983,13.7,2.8,35.3,0.75,26
1984,14.1,3.3,35.3,0.75,6
1985,12.8,2.2,35.3,0.75,19
1951,0,11.1,37.5,0.375,2462
1952,0,7.8,37.5,0.375,58
1953,0,4.8,37.5,0.375,38
1954,0.1,4.5,43.8,0.375,39
1955,0,2.6,43.8,0.375,97
1956,0.1,3.5,43.8,0.375,43
1957,0.4,2,51.2,0.375,49
1958,0.4,4.4,51.2,0.375,32
1959,1.2,3.7,51.2,0.375,49
1960,0.6,0.8,42.5,0.375,58
1961,0.3,1.8,42.5,0.375,59
1962,0.1,2.7,42.5,0.375,141
1963,0.1,1.9,43.8,0.375,80
1964,0.1,3.4,43.8,0.375,93
1965,0.1,3.4,43.8,0.375,29
1966,0.1,2.8,43.8,0.375,128
1967,0.1,6.1,43.8,0.375,174
1968,0.8,4.3,43.8,0.375,166
1969,0.3,4.9,46.4,0.375,171
1970,0.2,6.6,46.4,0.375,327
1971,0.2,10.5,46.4,0.375,191
1972,0.4,6.9,63.2,0.375,152
1973,0.2,8.1,63.2,0.375,300
1974,0.1,11.1,63.2,0.375,198
1975,0.2,14.6,36.8,0.375,225
1976,0.4,17,36.8,0.375,501
1977,0.3,14.4,36.8,0.375,437
1978,1.7,12,43.5,0.375,372
1979,1.9,13.7,43.5,0.375,373
1980,2.2,17.2,43.5,0.375,362
1981,3.6,15.4,46.7,0.375,354
1982,3.5,16.2,46.7,0.375,294
1983,5.6,7.4,46.7,0.375,324
1984,5.7,6.2,59,0.375,363
1985,4.1,15.4,59,0.375,632
1951,0.8,16.1,56.7,0.875,37
1952,1,8.8,56.7,0.875,127
1953,0.9,1.9,56.7,0.875,41
1954,0.8,4.6,53.3,0.875,104
1955,0.9,1.1,53.3,0.875,106
1956,1,3.6,53.3,0.875,946
1957,1.6,2.8,53.3,0.875,26
1958,1.5,4.9,52.7,0.875,59
1959,1.1,2.2,52.7,0.875,46
1960,0.9,0.4,52.7,0.875,2
1961,1,2.5,52.7,0.875,400
1962,1,5.3,50.7,0.875,76
1963,1.2,2.6,50.7,0.875,210
1964,1.1,5.7,50.7,0.875,1
1965,0.9,4.3,50.7,0.875,8
1966,0.8,3.3,46.7,0.875,5
1967,0.7,4.4,46.7,0.875,4
1968,1.1,3.5,46.7,0.875,12
1969,1,3.1,46.7,0.875,19
1970,0.8,10.6,49.3,0.875,39
1971,0.8,6.3,49.3,0.875,7
1972,1.7,7.2,49.3,0.875,9
1973,1.5,7.4,49.3,0.875,8
1974,1.5,9.4,52,0.875,227
1975,2.3,11.7,52,0.875,9
1976,1.8,9.2,52,0.875,90
1977,1.5,9,52,0.875,16
1978,1.8,8.2,52,0.875,39
1979,1.9,4.8,52,0.875,4
1980,1.7,10.9,52,0.875,63
1981,2,13.6,52,0.875,17
1982,2.6,11.4,46.7,0.875,167
1983,3.3,8.4,46.7,0.875,3
1984,3,6.3,46.7,0.875,61
1985,2.5,5.7,46.7,0.875,37
1951,1.8,15.8,52.2,0.875,217
1952,2.4,7.7,52.2,0.875,32
1953,2.8,1.6,50,0.875,237
1954,2.6,0.8,50,0.875,10
1955,2.5,3.1,50,0.875,63
1956,1.5,4.5,50,0.875,2
1957,1.9,4.4,48.5,0.875,21
1958,2.5,4.4,50.2,0.875,6
1959,2,0.8,50.2,0.875,9
1960,1.8,4.1,50.2,0.875,7
1961,1.7,2.2,51.3,0.875,1
1962,1.5,4.8,51.3,0.875,2
1963,1.7,2.9,51.3,0.875,8
1964,1.6,3.4,51.3,0.875,11
1965,1.2,5,51.9,0.875,1
1966,1.6,6.4,51.9,0.875,109
1967,2.1,4.3,51.9,0.875,0
1968,2.2,1.9,51.9,0.875,0
1969,1.9,2.7,54.9,0.875,34
1970,1.5,7,54.9,0.875,45
1971,2.5,7.4,51.4,0.875,242
1972,2.7,6,51.4,0.875,3
1973,2.5,6.7,51.4,0.875,3
1974,2,9.9,50,0.875,16
1975,1.6,9.8,50,0.875,98
1976,1.6,10.3,50,0.875,7
1977,1.8,11.5,48.4,0.875,23
1978,2.2,9.9,48.4,0.875,10
1979,2.1,7.2,48.4,0.875,7
1980,2,13.7,49.9,0.875,1150
1981,2.5,12.1,49.9,0.875,54
1982,3.1,8.6,49.9,0.875,0
1983,3.5,8.9,53.3,0.875,9
1984,3.1,8,53.3,0.875,8
1985,2.8,7.4,53.3,0.875,127
1951,0.8,4.8,28.4,0.5,5
1952,0.9,2.5,27.6,0.5,7
1953,0.9,-0.6,27.6,0.5,35
1954,0.8,0.7,27.6,0.5,15
1955,0.5,0.9,27.6,0.5,1
1956,0.6,1.5,29.1,0.5,1
1957,0.4,2,29.1,0.5,0
1958,0.4,1.8,29.1,0.5,1
1959,0.4,-0.7,29.1,0.5,1
1960,0,1.4,27.6,0.5,1
1961,0,1.9,27.6,0.5,0
1962,0,4.3,27.6,0.5,1
1963,0,3.4,27.6,0.5,32
1964,0,3.1,28.5,0.5,2
1965,0,3.4,28.5,0.5,0
1966,0,4.8,28.5,0.5,0
1967,0,4,28.5,0.5,1
1968,0,2.4,28,0.5,1
1969,0,2.5,28,0.5,0
1970,0,3.6,28,0.5,1
1971,0,6.6,28,0.5,3
1972,0,6.7,25.5,0.5,1
1973,0,8.8,25.5,0.5,0
1974,0,9.8,25.5,0.5,1
1975,0.4,6.7,25.5,0.5,1
1976,0.7,1.7,29.5,0.5,8
1977,0.4,1.3,29.5,0.5,2
1978,0.3,1.1,29.5,0.5,2
1979,0.3,3.7,29.5,0.5,1
1980,0.2,4,27,0.5,2
1981,0.2,6.5,27,0.5,0
1982,0.4,5.7,27,0.5,0
1983,0.9,3,27,0.5,2
1984,1.1,2.9,24,0.5,0
1985,0.9,3.4,24,0.5,0
1951,0.9,9.7,47.2,0.375,81
1952,1.4,6.1,47.2,0.375,86
1953,1.3,1.9,47.2,0.375,104
1954,1,1.9,47.2,0.375,114
1955,0.8,3.1,44,0.375,173
1956,0.9,4.2,44,0.375,95
1957,1.1,2.4,44,0.375,380
1958,1.7,2.9,44,0.375,158
1959,1.7,0.7,41,0.375,239
1960,1.3,1,41,0.375,135
1961,1.1,3.6,41,0.375,134
1962,1.6,4.1,41,0.375,252
1963,2,2.1,41,0.375,76
1964,1.4,3.2,50.3,0.375,100
1965,1.2,4.8,50.3,0.375,127
1966,1.1,3.9,57.8,0.375,103
1967,2,2.4,57.8,0.375,122
1968,2.1,4.7,57.8,0.375,207
1969,2,5.5,57.8,0.375,303
1970,2.2,6.4,45.7,0.375,488
1971,2.8,9.4,45.7,0.375,612
1972,3.1,7.1,45.7,0.375,1080
1973,2.2,9.2,45.7,0.375,317
1974,2.1,15.9,47.4,0.375,647
1975,3.2,24.2,50.2,0.375,265
1976,4.8,16.5,50.2,0.375,146
1977,5.2,15.9,50.2,0.375,448
1978,5.1,8.2,50.2,0.375,413
1979,4.6,13.5,42.4,0.375,1272
1980,5.6,18,42.4,0.375,520
1981,9,11.9,42.4,0.375,195
1982,10.4,8.6,42.4,0.375,248
1983,11.2,4.6,32.2,0.375,178
1984,11.2,5,32.2,0.375,1278
1985,11.5,6.1,32.2,0.375,298
1951,3.2,8,51,0,466
1952,2.9,2.2,51,0,1190
1953,2.8,0.8,49,0,559
1954,5.3,0.4,49,0,456
1955,4.2,-0.3,51,0,529
1956,4,1.5,51,0,616
1957,4.2,3.4,51,0,311
1958,6.6,2.7,51,0,438
1959,5.3,0.9,65.3,0,1236
1960,5.4,1.5,65.3,0,341
1961,6.5,1.1,64,0,284
1962,5.4,1.1,64,0,317
1963,5.5,1.2,68,0,267
1964,5,1.3,68,0,385
1965,4.4,1.7,68,0,379
1966,3.7,3,68,0,399
1967,3.7,2.8,64,0,636
1968,3.5,4.2,64,0,723
1969,3.4,5.4,58,0,615
1970,4.8,5.9,58,0,940
1971,5.8,4.3,54,0,668
1972,5.5,3.3,54,0,366
1973,4.8,6.2,56,0,625
1974,5.5,11,56,0,612
1975,8.3,9.1,62,0,403
1976,7.6,5.7,62,0,298
1977,6.9,6.5,61,0,255
1978,6,7.7,61,0,273
1979,5.8,11.3,58,0,228
