@relation pwLinear-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {-10.81,-9.78,-9.64,-8.73,-8.39,-8.11,-8.04,-7.87,-7.83,-7.64,-7.45,-7.39,-7.28,-6.86,-6.82,-6.66,-6.55,-6.52,-6.3,-5.93,-5.92,-5.91,-5.86,-5.66,-5.6,-5.52,-5.48,-5.47,-5.33,-4.99,-4.94,-4.93,-4.78,-4.71,-4.5,-4.4,-4.23,-4.04,-4.01,-4,-3.96,-3.95,-3.93,-3.9,-3.88,-3.65,-3.36,-3.3,-3.26,-3.22,-3.18,-3.16,-3.12,-3.02,-3,-2.99,-2.96,-2.93,-2.92,-2.88,-2.81,-2.77,-2.75,-2.63,-2.58,-2.52,-2.5,-2.35,-2.24,-2.06,-1.94,-1.86,-1.75,-1.69,-1.66,-1.64,-1.57,-1.54,-1.53,-1.4,-1.36,-1.26,-1.22,-1.19,-0.9,-0.89,-0.87,-0.85,-0.79,-0.77,-0.76,-0.63,-0.62,-0.51,-0.5,-0.46,-0.32,-0.2,-0.12,-0.06,-0.02,0.06,0.13,0.14,0.15,0.2,0.25,0.37,0.38,0.39,0.44,0.51,0.64,0.73,0.77,0.81,0.82,0.83,0.88,1.15,1.24,1.26,1.29,1.41,1.43,1.45,1.5,1.52,1.54,1.59,1.63,1.85,1.88,1.94,1.97,2.05,2.1,2.15,2.23,2.27,2.44,2.68,2.89,3.05,3.11,3.18,3.33,3.34,3.35,3.49,3.55,3.62,3.64,4,4.12,4.49,4.61,4.64,4.67,4.7,4.92,5,5.2,5.22,5.23,5.33,5.35,5.45,5.54,5.67,5.74,5.93,5.99,6.01,6.44,7.01,7.16,7.18,7.39,7.54,7.57,7.91,8.09,8.55,9.15,9.67,9.78,10.65,12.09}

@data
1,0,1,1,-1,1,1,-1,0,1,-1.22
1,-1,1,1,-1,-1,-1,1,-1,1,-8.73
-1,-1,1,0,-1,0,-1,-1,1,1,1.43
1,0,1,-1,0,1,0,1,0,1,-0.79
1,-1,1,1,0,0,1,1,1,0,-2.5
-1,1,-1,-1,0,0,0,-1,0,0,6.01
1,1,-1,0,0,1,-1,1,1,1,-1.57
-1,-1,1,0,0,1,-1,-1,-1,0,0.82
-1,1,1,1,1,1,1,-1,-1,0,10.65
1,0,-1,-1,0,0,-1,-1,1,1,-4.04
1,-1,1,0,1,1,1,0,0,-1,5.54
1,0,-1,0,1,-1,0,-1,0,1,-5.48
-1,-1,1,-1,-1,0,0,-1,-1,0,1.24
-1,1,1,0,0,-1,-1,0,0,-1,7.54
1,1,0,-1,0,-1,-1,0,1,-1,-6.52
-1,0,0,0,-1,1,1,-1,0,1,3.35
-1,-1,1,0,0,-1,0,0,0,0,1.5
-1,-1,0,-1,0,1,0,0,-1,-1,1.26
1,-1,1,-1,0,-1,1,1,1,-1,-4.71
1,1,-1,0,-1,1,1,0,0,0,-0.63
-1,-1,-1,-1,0,0,-1,1,0,-1,-1.57
-1,1,-1,0,1,0,0,0,-1,1,5.99
1,-1,1,0,0,0,0,1,1,1,-3.26
1,1,-1,-1,0,0,-1,0,1,1,-4.23
1,0,0,0,0,0,-1,0,1,1,-0.87
1,0,0,-1,-1,1,-1,-1,0,-1,-2.77
-1,1,1,0,0,1,-1,1,0,1,12.09
1,-1,-1,-1,0,1,1,-1,0,-1,-0.46
-1,0,1,1,1,1,1,-1,0,0,7.39
-1,0,-1,1,0,0,0,-1,-1,0,-0.06
-1,1,0,0,1,1,-1,0,1,-1,8.55
-1,0,1,0,0,1,1,1,0,1,5
-1,0,-1,1,-1,0,-1,-1,-1,1,-1.69
-1,-1,-1,0,0,-1,-1,0,1,1,-2.81
1,-1,-1,1,-1,1,1,1,-1,-1,-3.65
1,0,-1,-1,1,0,-1,-1,1,-1,-1.36
-1,-1,-1,1,1,1,-1,1,1,-1,0.2
1,-1,-1,1,-1,1,1,0,-1,-1,-2.06
-1,0,1,-1,1,0,-1,0,1,-1,5.23
1,1,0,0,1,1,-1,-1,1,0,0.06
-1,-1,1,0,0,1,0,0,-1,-1,1.97
1,1,-1,-1,1,0,1,0,1,0,0.83
1,1,-1,-1,-1,-1,0,1,-1,-1,-6.55
1,1,1,0,1,0,1,1,0,0,0.64
1,1,-1,0,1,-1,1,1,1,1,2.27
1,1,1,1,-1,1,1,-1,-1,1,-1.94
-1,-1,-1,0,1,0,1,-1,0,0,1.59
1,-1,-1,1,-1,-1,0,0,1,0,-6.66
-1,0,-1,0,0,0,0,0,1,1,-0.2
1,1,-1,1,0,-1,1,0,-1,0,-1.86
-1,0,1,-1,0,-1,1,1,0,-1,7.01
1,0,1,-1,0,0,1,-1,-1,0,-3
-1,1,1,1,0,1,0,-1,0,0,7.16
-1,0,0,-1,1,1,-1,1,-1,1,3.62
-1,0,0,1,-1,-1,0,1,0,1,3.05
1,0,0,-1,-1,1,0,-1,-1,0,-3
-1,1,-1,0,1,1,0,1,0,-1,3.34
-1,1,-1,-1,0,-1,-1,-1,0,-1,4
1,-1,-1,0,0,1,1,-1,0,-1,-2.24
1,1,0,-1,1,-1,-1,0,0,-1,-3.16
-1,-1,-1,0,-1,1,0,-1,1,1,-2.96
1,-1,0,1,-1,-1,-1,1,0,0,-7.64
-1,0,-1,-1,-1,0,-1,0,0,0,-1.66
-1,0,0,-1,1,-1,-1,1,-1,1,4
1,0,1,1,-1,-1,1,1,-1,0,-5.91
1,-1,-1,1,1,-1,0,-1,-1,0,-2.52
1,-1,1,-1,-1,-1,0,1,1,1,-7.28
1,1,1,0,-1,-1,-1,1,0,-1,-8.11
-1,-1,1,1,1,-1,0,0,-1,0,5.93
1,-1,0,-1,0,0,-1,0,-1,-1,-4.01
-1,0,0,1,0,-1,0,-1,-1,0,1.52
-1,-1,-1,0,-1,1,-1,-1,-1,0,-4.78
-1,-1,0,-1,0,1,0,1,-1,-1,1.41
-1,1,-1,-1,1,1,0,-1,-1,-1,4.12
1,0,-1,1,-1,1,0,1,1,0,-4
1,0,1,-1,0,-1,-1,0,-1,1,-6.86
1,-1,0,1,0,0,-1,-1,-1,1,-3.88
1,-1,0,1,-1,-1,0,-1,0,-1,-9.78
-1,1,0,1,1,1,1,1,0,-1,8.09
-1,1,-1,1,-1,0,1,0,-1,-1,3.11
1,-1,0,1,0,-1,0,-1,1,1,-5.52
1,-1,1,1,0,1,1,1,-1,-1,-0.85
-1,-1,1,0,1,-1,-1,1,1,0,0.37
-1,0,0,0,1,1,1,0,-1,-1,2.44
1,-1,1,1,-1,1,0,1,0,-1,-5.93
1,-1,-1,1,0,0,1,1,1,0,-2.58
1,1,0,-1,-1,0,-1,-1,0,0,-8.39
-1,0,-1,-1,0,1,1,-1,-1,-1,0.44
-1,-1,1,1,1,1,1,1,-1,-1,2.05
1,1,-1,-1,0,0,0,-1,1,-1,-2.92
1,1,-1,-1,-1,0,1,1,1,1,-3.9
-1,1,-1,1,0,-1,0,1,-1,0,4.49
-1,0,-1,0,0,1,1,-1,-1,-1,1.85
1,0,0,1,1,0,0,1,0,0,-2.93
1,-1,-1,-1,0,-1,1,1,0,1,-6.3
1,0,1,-1,1,-1,1,0,0,-1,-1.4
-1,-1,0,-1,1,0,-1,1,0,-1,1.15
1,1,0,-1,-1,-1,1,-1,-1,-1,-4.99
-1,0,0,1,1,1,0,0,-1,-1,3.18
-1,1,0,1,-1,0,-1,-1,0,0,3.55
1,-1,1,-1,0,0,-1,-1,-1,0,-2.92
-1,0,-1,0,0,1,-1,1,-1,-1,-0.12
-1,1,-1,-1,0,1,1,1,0,1,3.18
1,0,1,1,1,-1,-1,1,1,-1,-1.26
1,-1,-1,-1,-1,0,-1,-1,-1,1,-10.81
1,1,0,0,0,-1,0,-1,1,0,-4.94
1,0,0,1,0,-1,1,0,1,0,-3.12
1,-1,0,-1,0,1,0,1,1,-1,-1.64
1,-1,0,0,0,1,-1,-1,1,1,-1.53
-1,-1,0,0,1,0,1,1,0,1,1.45
-1,0,1,1,0,1,1,-1,0,-1,5.35
-1,1,0,-1,0,1,0,0,1,0,7.91
1,-1,-1,1,1,0,1,1,-1,0,1.54
1,-1,-1,1,-1,0,-1,0,0,-1,-5.47
1,0,-1,1,-1,1,-1,0,-1,-1,-4.93
-1,-1,-1,0,0,-1,0,-1,0,-1,-1.66
1,0,0,1,0,0,-1,1,-1,-1,-3.93
-1,0,1,1,-1,1,1,1,-1,1,4.64
1,0,-1,-1,0,0,1,0,-1,-1,-0.02
-1,1,1,-1,1,1,-1,0,0,0,9.67
1,1,1,-1,0,1,0,1,1,1,-0.51
1,0,-1,1,1,-1,-1,0,-1,1,-1.75
1,0,1,0,-1,-1,1,1,-1,-1,-6.82
-1,-1,1,1,-1,-1,0,1,0,0,2.15
-1,0,1,1,-1,1,1,0,1,1,5.22
-1,1,0,1,1,1,-1,-1,-1,0,5.2
-1,0,-1,0,0,0,-1,-1,-1,1,0.14
-1,1,1,0,1,1,-1,1,1,-1,9.15
-1,0,0,-1,0,0,0,1,1,-1,1.63
-1,0,-1,0,-1,1,0,-1,0,-1,2.1
-1,-1,1,-1,1,1,0,-1,-1,-1,2.68
1,-1,-1,-1,0,1,1,1,1,-1,0.15
1,0,0,-1,-1,-1,-1,0,1,-1,-9.64
1,1,-1,0,1,1,1,1,1,1,4.92
1,1,-1,0,0,0,1,-1,1,1,0.15
1,-1,1,1,0,0,0,0,0,-1,-2.75
1,1,-1,-1,0,0,-1,1,0,0,-5.86
1,1,-1,-1,-1,1,-1,-1,0,1,-2.99
-1,-1,-1,0,0,1,0,0,-1,1,2.23
-1,0,-1,1,1,-1,1,-1,1,-1,0.81
-1,0,1,1,1,0,1,1,-1,1,7.57
1,0,0,0,1,-1,-1,1,-1,0,-3.02
1,-1,-1,0,1,0,1,1,-1,1,0.38
1,-1,0,1,1,0,0,-1,0,-1,-2.35
1,-1,-1,1,1,-1,-1,0,0,1,-3.96
1,0,0,0,1,-1,1,0,1,0,-2.63
1,-1,-1,-1,1,1,0,1,1,0,0.73
-1,1,-1,1,1,0,0,-1,0,0,5.33
-1,-1,-1,0,1,0,-1,0,-1,-1,-0.77
1,0,-1,0,-1,0,0,-1,1,-1,-5.33
-1,0,1,1,1,0,0,1,0,0,5.67
1,1,-1,-1,-1,1,0,0,1,1,-4.4
1,0,0,1,1,1,-1,-1,1,0,0.77
1,1,1,-1,0,-1,0,1,1,1,-7.45
-1,-1,0,-1,1,0,-1,1,-1,0,1.29
1,1,-1,0,-1,-1,1,0,-1,1,-7.87
1,1,0,-1,1,0,0,1,1,0,0.25
-1,-1,1,1,1,1,-1,-1,1,1,5.74
1,0,1,0,-1,-1,-1,0,-1,0,-8.04
1,1,1,1,0,-1,-1,-1,-1,-1,-3.95
-1,0,-1,0,0,-1,-1,1,-1,1,-0.32
1,-1,0,-1,0,1,0,0,1,-1,-1.19
1,-1,-1,-1,0,0,0,1,1,0,-3.22
1,0,0,0,1,1,0,-1,-1,1,2.89
-1,1,0,1,0,0,1,0,1,-1,4.67
