@relation auto93.names-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute City_MPG numeric
@attribute Highway_MPG numeric
@attribute Number_of_cylinders numeric
@attribute Engine_size numeric
@attribute Horsepower numeric
@attribute RPM numeric
@attribute Engine_revolutions_per_mile numeric
@attribute Fuel_tank_capacity numeric
@attribute Passenger_capacity numeric
@attribute Length numeric
@attribute Wheelbase numeric
@attribute Width numeric
@attribute U-turn_space numeric
@attribute Rear_seat_room numeric
@attribute Luggage_capacity numeric
@attribute Weight numeric
@attribute class {7.4,8,8.3,8.4,8.6,9,9.1,9.2,9.8,10,10.1,10.3,10.9,11.1,11.3,11.4,11.6,11.8,12.1,12.2,12.5,13.3,13.4,13.5,13.9,14,14.1,14.4,14.9,15.1,15.6,15.7,15.8,15.9,16.3,16.5,16.6,17.5,17.7,18.2,18.4,18.5,18.8,19,19.1,19.3,19.5,19.7,19.8,19.9,20,20.2,20.7,20.8,20.9,21.5,22.7,23.3,23.7,24.4,25.8,26.1,26.3,26.7,28,28.7,29.1,29.5,30,31.9,32.5,33.9,34.3,34.7,35.2,36.1,37.7,38,40.1,47.9,61.9}

@data
20,28,6,3.5,214,5800,1980,18,6,202,113,74,40,30,15,3490,19.3
31,33,4,1.3,63,5000,3150,10,4,141,90,63,33,26,12,1845,7.4
23,30,4,1.8,127,6500,2410,13.2,5,171,98,67,36,28,12,2530,10.1
22,27,4,2.3,96,4200,2805,15.9,5,177,100,68,39,27.5,13,2690,11.3
22,29,4,2.3,105,4600,2285,15.4,4,180,101,68,40,24,12,2850,15.9
24,30,4,2,115,5500,2340,15.5,4,179,103,70,38,23,18,2710,14
15,20,6,3,145,4800,2080,21,7,176,119,72,45,30,?,3735,19.9
21,30,6,3,140,4800,1885,16,5,192,106,71,40,27.5,18,3325,20.2
18,26,8,4.6,190,4200,1415,20,6,212,114,78,43,30,21,3950,20.9
46,50,3,1,55,5700,3755,10.6,4,151,93,63,34,27.5,10,1695,8.4
30,36,4,1.6,90,5400,3250,12.4,4,164,97,67,37,24.5,11,2475,12.5
24,31,4,2.3,160,5800,2855,15.9,4,175,100,70,39,23.5,8,2865,19.8
42,46,4,1.5,102,5900,2650,11.9,4,173,103,67,36,28,12,2350,12.1
24,31,4,2.2,140,5600,2610,17,4,185,107,67,41,28,14,3040,17.5
29,33,4,1.5,81,5500,2710,11.9,5,168,94,63,35,26,11,2345,8
22,29,4,1.8,124,6000,2745,13.7,5,172,98,66,36,28,12,2620,10
26,34,4,1.5,92,5550,2540,11.9,4,166,94,64,34,23.5,9,2285,10
20,27,4,2,128,6000,2335,17.2,5,184,104,69,41,31,14,2885,13.9
17,22,8,4.5,278,6000,1955,22.5,5,200,113,72,42,29,15,4000,47.9
18,24,6,3,185,5200,2325,18.5,5,188,103,70,40,27.5,14,3510,28
18,23,6,3,225,6000,2510,20.6,4,191,106,71,39,25,9,3515,35.2
17,26,6,3.8,160,4400,1835,18.4,6,205,109,73,42,30,19,3695,34.3
18,26,8,4.6,210,4600,1840,20,6,219,117,77,45,31.5,22,4055,36.1
29,37,4,1.6,82,5000,2370,13.2,4,164,97,66,34,27,16,2325,8.3
28,36,4,1.8,103,5500,2220,14.5,5,172,98,66,36,26.5,13,2440,11.6
26,34,4,2.5,164,5600,2505,15.5,5,184,103,69,40,29.5,14,2970,16.5
18,24,6,3,155,5000,2240,19.6,7,190,110,72,39,27.5,?,3735,19.1
17,25,?,1.3,255,6500,2325,20,2,169,96,69,37,?,?,2895,32.5
20,29,4,2.3,130,5100,2425,14.5,5,175,105,67,34,26,12,2920,31.9
19,25,6,3.2,217,5500,2220,18.5,5,187,110,69,37,27,15,3525,61.9
23,26,4,1.6,100,5750,2475,11.1,4,166,95,65,36,19,6,2450,14.1
19,26,6,3.8,140,3800,1730,18,5,199,113,73,38,28,15,3610,14.9
29,33,4,1.5,92,6000,2505,13.2,5,172,98,67,36,26,11,2295,10.3
18,24,6,3,202,6000,2210,19,5,190,107,70,43,27.5,14,3730,26.1
29,33,4,1.6,110,6000,2435,13.2,5,170,96,66,33,26,12,2545,11.8
24,30,4,2.4,150,5600,2130,15.9,5,181,103,67,40,28.5,14,3050,15.7
17,23,6,3,151,4800,2065,20,7,190,112,74,41,27,?,4100,19.1
21,26,6,3,160,5200,2045,18.5,5,188,104,69,41,28.5,14,3200,21.5
24,31,4,2.3,155,6000,2380,15.2,5,188,103,67,39,28,14,2910,13.5
23,31,4,2.2,110,5200,2565,16.5,5,190,105,70,42,28,16,2890,16.3
18,23,6,3.8,170,4800,1690,20,7,194,110,74,44,30.5,?,3715,19.5
19,28,6,3.8,170,4800,1570,18,6,201,111,74,42,31.5,17,3470,20.7
23,30,4,1.8,92,5000,2360,15.9,4,173,97,67,39,24.5,8,2640,14.4
31,41,4,1.6,74,5600,3130,13.2,4,177,99,66,35,25.5,17,2350,9
23,31,4,2,110,5200,2665,15.2,5,181,101,66,39,25,13,2575,11.1
19,28,6,3.4,160,4600,1805,15.5,4,196,101,75,43,25,13,3240,17.7
19,27,6,3.4,200,5000,1890,16.5,5,195,108,72,41,28.5,16,3450,18.5
19,28,6,3.8,170,4800,1565,18,6,177,111,74,43,30.5,18,3495,24.4
20,26,4,2.1,140,6000,2910,18,5,184,99,67,37,26.5,14,2775,28.7
28,38,4,1.9,85,5000,2145,12.8,5,176,102,68,40,26.5,12,2495,11.1
33,37,3,1.2,73,5600,2875,9.2,4,146,90,60,32,23.5,10,2045,8.4
25,30,4,1.8,90,5200,3375,15.9,5,175,97,65,35,27.5,15,2490,10.9
23,30,4,2.2,130,5600,2330,15.9,5,179,102,67,37,27,14,3085,19.5
39,43,3,1.3,70,6000,3360,10.6,4,161,93,63,34,27.5,10,1965,8.6
32,37,4,1.5,82,5200,3505,11.9,5,162,94,65,36,24,11,2055,9.8
25,32,4,2.2,135,5400,2405,15.9,4,174,99,69,39,23,13,2950,18.4
22,29,4,2.2,130,5400,2340,18.5,5,188,103,70,38,28.5,15,3030,18.2
18,22,4,2.4,138,5000,2515,19.8,7,187,113,71,41,35,?,3785,22.7
25,33,4,1.8,81,5500,2550,12.4,4,163,93,63,34,26,10,2240,9.1
17,21,5,2.5,109,4500,2915,21.1,7,187,115,72,38,34,?,3960,19.7
21,30,4,2,134,5800,2685,18.5,5,180,103,67,35,31.5,14,2985,20
18,25,6,2.8,178,5800,2385,18.5,4,159,97,66,36,26,15,2810,23.3
21,28,4,2.3,114,5400,2215,15.8,5,190,104,67,37,29.5,14,2985,22.7
20,28,5,2.4,168,6200,2310,19.3,5,184,105,69,38,30,15,3245,26.7
