@relation final
@attribute userid integer [1,500]
@attribute course integer []
@attribute n_assignment integer []
@attribute n_assignment_a integer [] 
@attribute n_assignment_s integer [] 
@attribute n_messages integer [] 
@attribute n_posts integer [] 
@attribute n_read integer [] 
@attribute n_quiz integer [] 
@attribute n_quiz_a integer [] 
@attribute n_quiz_s integer [] 
@attribute n_messages_ap integer [] 
@attribute total_time_assignment integer [] 
@attribute total_time_quiz integer [] 
@attribute total_time_forum integer [] 
@attribute nota real [0.0,10.0] 
@data 
581,29,1,0,1,0,0,0,0,0,0,0,0,0,545,6.0
718,29,1,0,1,0,0,0,0,0,0,0,120,0,0,4.0
1248,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1067,29,0,0,0,0,1,1,0,0,0,0,0,0,1213,0.0
1407,29,0,0,0,0,0,0,0,0,0,0,0,0,555,0.0
756,29,1,0,1,0,0,0,0,0,0,0,139,0,71,3.5
1354,29,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0
1617,29,2,0,2,0,1,0,0,0,0,0,177,0,1371,0.0
700,29,1,0,1,0,1,0,0,0,0,0,0,0,758,3.0
319,29,1,0,1,0,0,0,0,0,0,0,17,0,99,5.0
1154,29,0,0,0,0,0,0,0,0,0,0,0,0,310,0.0
481,29,1,0,1,0,0,0,0,0,0,0,0,0,168,0.0
932,29,1,0,1,0,0,0,0,0,0,0,0,0,10341,0.0
970,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
1247,29,0,0,0,0,0,0,0,0,0,0,0,0,293,0.0
434,29,1,0,1,0,0,0,0,0,0,0,0,0,735,1.0
1537,29,0,0,0,0,0,0,0,0,0,0,0,0,404,0.0
1041,29,1,0,1,0,0,0,0,0,0,0,93,0,2531,0.0
192,29,2,0,2,0,1,0,0,0,0,0,398,0,3782,5.0
1464,29,0,0,0,0,0,0,0,0,0,0,0,0,1112,0.0
1044,29,1,0,1,0,0,0,0,0,0,0,19,0,161,0.0
320,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
3604,29,0,0,0,0,0,0,0,0,0,0,0,0,213,0.0
957,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
639,29,1,0,1,0,0,0,0,0,0,0,0,0,541,0.0
674,29,1,0,1,0,1,0,0,0,0,0,246,0,1137,5.0
920,29,2,0,2,0,1,0,0,0,0,0,169,0,2699,4.0
1448,29,0,0,0,0,0,0,0,0,0,0,0,0,141,0.0
213,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1447,29,0,0,0,0,2,0,0,0,0,0,0,0,1274,0.0
1054,29,0,0,0,0,0,0,0,0,0,0,0,0,136,0.0
1287,29,0,0,0,0,0,0,0,0,0,0,0,0,319,0.0
216,29,2,0,2,0,0,0,0,0,0,0,143,0,1463,0.0
954,29,1,0,1,0,0,0,0,0,0,0,0,0,13,0.0
911,29,0,0,0,0,0,0,0,0,0,0,0,0,360,3.0
650,29,3,0,3,0,1,0,0,0,0,0,279,0,2512,0.0
1243,29,0,0,0,0,0,0,0,0,0,0,0,0,179,0.0
1199,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1029,29,1,0,1,0,2,0,0,0,0,0,14,0,1547,5.5
539,29,2,0,2,0,1,0,0,0,0,0,1639,0,1452,0.0
969,29,1,0,1,0,0,0,0,0,0,0,281,0,3258,0.0
971,29,0,0,0,0,0,0,0,0,0,0,0,0,14711,1.0
220,29,1,0,1,0,0,0,0,0,0,0,4,0,518,0.0
1025,29,1,0,1,0,3,0,0,0,0,0,0,0,1053,4.5
560,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
440,29,3,0,3,0,1,0,0,0,0,0,269,0,2310,0.0
1173,29,0,0,0,0,0,0,0,0,0,0,0,0,286,0.0
1411,29,0,0,0,0,0,0,0,0,0,0,0,0,772,0.0
2550,29,0,0,0,0,0,0,0,0,0,0,0,0,120,0.0
595,29,1,0,1,0,0,0,0,0,0,0,194,0,1937,5.5
524,29,1,0,1,0,2,0,0,0,0,0,0,0,1869,5.5
1031,29,0,0,0,0,0,0,0,0,0,0,0,0,163,0.0
901,29,0,0,0,0,10,0,0,0,0,0,0,0,3595,2.0
506,29,0,0,0,0,3,0,0,0,0,0,0,0,1985,1.0
819,29,1,0,1,0,3,0,0,0,0,0,0,0,1107,0.0
476,29,1,0,1,0,2,0,0,0,0,0,204,0,2159,0.5
245,29,1,0,1,0,0,0,0,0,0,0,0,0,245,0.0
981,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1021,29,0,0,0,0,0,0,0,0,0,0,0,0,18,0.0
323,29,1,0,1,0,0,0,0,0,0,0,0,0,268,4.0
1024,29,1,0,1,0,0,0,0,0,0,0,0,0,165,0.0
677,29,1,0,1,0,0,0,0,0,0,0,649,0,1165,1.5
938,29,4,0,4,0,1,0,0,0,0,0,337,0,342,0.0
371,29,1,0,1,0,3,0,0,0,0,0,0,0,1756,5.5
435,29,1,0,1,0,1,0,0,0,0,0,75,0,1826,0.0
221,29,2,0,2,0,0,0,0,0,0,0,262,0,6418,5.0
218,29,2,0,2,0,0,0,0,0,0,0,152,0,5149,4.5
1120,29,0,0,0,0,0,0,0,0,0,0,0,0,666,4.5
1097,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1015,29,0,0,0,0,0,0,0,0,0,0,0,0,861,5.0
890,29,1,0,1,0,0,0,0,0,0,0,0,0,5589,6.5
529,29,1,0,1,0,2,0,0,0,0,0,6,0,0,0.0
566,29,1,0,1,0,0,0,0,0,0,0,0,0,382,0.0
952,29,1,0,1,0,0,7,0,0,0,0,0,0,12683,2.5
984,29,0,0,0,0,0,0,0,0,0,0,0,0,143,0.0
973,29,2,0,2,0,0,0,0,0,0,0,48,0,1060,3.5
1569,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
195,29,1,0,1,0,2,7,0,0,0,0,120,0,1949,6.5
254,29,1,0,1,0,0,0,0,0,0,0,18,0,2242,3.5
1161,29,0,0,0,0,0,0,0,0,0,0,0,0,1903,10.0
561,29,1,0,1,0,0,0,0,0,0,0,0,0,850,0.0
1623,29,0,0,0,0,1,0,0,0,0,0,0,0,1126,0.0
1348,29,0,0,0,0,0,0,0,0,0,0,0,0,340,0.0
342,29,1,0,1,0,0,0,0,0,0,0,13,0,0,0.0
1050,29,1,0,1,0,0,0,0,0,0,0,0,0,550,4.0
122,29,2,0,2,0,4,0,0,0,0,0,388,0,2429,4.5
1139,29,0,0,0,0,0,0,0,0,0,0,0,0,237,0.0
494,29,0,0,0,0,0,0,0,0,0,0,6,0,733,5.5
899,29,0,0,0,0,0,7,0,0,0,0,0,0,1396,0.0
1125,29,1,0,1,0,0,0,0,0,0,0,0,0,391,0.5
1039,29,0,0,0,0,0,0,0,0,0,0,0,0,71,0.0
46,29,2,0,2,0,0,0,0,0,0,0,148,0,5221,5.0
1122,29,1,0,1,0,0,0,0,0,0,0,172,0,0,2.0
1087,29,0,0,0,0,0,0,0,0,0,0,0,0,9720,0.0
1010,29,1,0,1,0,0,0,0,0,0,0,276,0,233,0.0
1586,29,0,0,0,0,0,0,0,0,0,0,0,0,1003,0.0
1540,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
460,29,1,0,1,0,0,0,0,0,0,0,0,0,1343,0.0
1591,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
956,29,1,0,1,0,0,0,0,0,0,0,0,0,142,0.0
2530,29,0,0,0,0,0,0,0,0,0,0,0,0,1367,2.5
610,29,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0
1075,29,0,0,0,0,1,0,0,0,0,0,0,0,810,6.5
1275,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
714,29,1,0,1,0,0,0,0,0,0,0,0,0,579,0.0
574,29,0,0,0,0,0,0,0,0,0,0,0,0,433,0.0
1177,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
680,29,2,0,2,0,0,0,0,0,0,0,329,0,564,4.5
1178,29,0,0,0,0,0,0,0,0,0,0,0,0,252,0.0
51,29,0,0,0,0,0,0,0,0,0,0,0,0,620,0.0
1150,29,2,0,2,0,0,0,0,0,0,0,445,0,551,5.0
225,29,1,0,1,0,0,0,0,0,0,0,0,0,109,0.0
1157,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
302,29,1,0,1,0,1,0,0,0,0,0,0,0,125,0.0
1214,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1458,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
322,29,1,0,1,0,0,0,0,0,0,0,0,0,0,6.0
856,29,2,0,2,0,1,0,0,0,0,0,256,0,710,4.0
441,29,1,0,1,0,0,0,0,0,0,0,95,0,347,0.0
1151,29,0,0,0,0,0,0,0,0,0,0,0,0,120,0.0
925,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1032,29,2,0,2,0,0,0,0,0,0,0,278,0,1147,0.0
375,29,1,0,1,0,4,0,0,0,0,0,0,0,415,0.0
534,29,1,0,1,0,1,0,0,0,0,0,324,0,1638,5.5
1036,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
977,29,1,0,1,0,0,0,0,0,0,0,24,0,2455,2.5
1713,29,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0
1480,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2097,29,0,0,0,0,0,0,0,0,0,0,0,0,833,0.0
3945,29,0,0,0,0,0,0,0,0,0,0,0,0,641,0.0
121,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
733,110,11,0,11,0,0,0,12,9,3,0,1681,6412,2158,9.1
581,110,10,0,10,0,0,0,11,8,3,0,98,6709,553,6.6
424,110,8,0,8,0,7,0,7,6,1,0,1153,3534,6684,4.0
404,110,11,0,11,0,0,0,10,5,5,0,1149,5608,292,6.1
923,110,9,0,9,0,0,0,13,9,4,0,1382,8916,5703,9.0
718,110,8,0,8,0,1,0,13,9,4,0,908,7293,5640,7.0
1027,110,9,0,9,0,0,0,11,8,3,0,768,3396,1800,5.0
123,110,10,0,10,0,5,0,12,8,4,0,661,5062,1535,7.9
700,110,10,0,10,0,4,0,13,9,4,0,664,6035,7763,7.4
319,110,11,0,11,0,1,0,11,9,2,0,1554,4114,0,7.3
115,110,10,0,10,0,1,0,13,9,4,0,403,2910,3157,7.8
1247,110,9,0,9,0,0,0,11,7,4,0,888,5162,799,4.0
860,110,10,0,10,0,4,0,12,9,3,0,678,5620,1705,8.4
188,110,10,0,10,0,2,0,13,9,4,0,772,4080,1139,8.2
1044,110,9,0,9,0,0,0,12,7,5,0,698,4796,1217,4.0
3604,110,10,0,10,0,0,0,11,9,2,0,985,4132,515,8.0
701,110,11,0,11,0,2,0,12,9,3,0,1020,3000,1975,8.1
921,110,11,0,11,0,3,0,12,9,3,0,1039,5725,3725,8.2
4722,110,8,0,8,0,5,0,7,3,4,0,384,4028,4311,4.0
887,110,9,0,9,0,2,0,12,8,4,0,1099,6662,3287,7.1
954,110,11,0,11,0,0,0,12,7,5,0,1095,4848,1988,6.8
1029,110,10,0,10,0,2,0,12,8,4,0,532,8107,1719,7.1
125,110,10,0,10,0,2,0,13,8,5,0,1626,6287,4764,8.4
969,110,11,0,11,0,4,0,13,9,4,0,361,5370,3722,7.8
1025,110,9,0,9,0,0,0,12,9,3,0,2157,4815,931,7.6
560,110,11,0,11,0,3,0,12,7,5,0,2102,4002,3964,6.4
1173,110,9,0,9,0,0,0,10,7,3,0,607,4536,196,4.0
549,110,9,0,9,0,0,0,11,7,4,0,790,5593,0,4.0
563,110,11,0,11,0,2,0,10,8,2,0,1283,5178,2610,6.6
4891,110,10,0,10,0,0,0,11,7,4,0,313,7303,216,4.0
323,110,10,0,10,0,0,0,12,8,4,0,649,6323,419,4.0
1024,110,10,0,10,0,0,0,12,9,3,0,1340,5007,1090,7.5
938,110,10,0,10,0,1,0,10,9,1,0,560,2788,1466,8.1
371,110,10,0,10,0,0,0,12,9,3,0,212,5399,0,7.4
221,110,11,0,11,0,0,0,11,6,5,0,922,4308,1757,6.9
1015,110,11,0,11,0,2,0,13,8,5,0,1188,5736,1912,7.1
890,110,11,0,11,0,3,0,12,8,4,0,1596,6465,13299,7.0
1023,110,10,0,10,0,1,0,11,8,3,0,827,2355,1412,4.0
973,110,10,0,10,0,0,0,12,6,6,0,727,4788,2015,8.2
558,110,11,0,11,0,6,0,10,7,3,0,3061,7215,0,9.0
1569,110,9,0,9,0,0,0,12,7,5,0,1116,3883,1318,6.9
195,110,11,0,11,0,3,0,10,4,6,0,679,4783,4444,5.7
1050,110,9,0,9,0,0,0,13,8,5,0,812,7483,1031,7.2
122,110,10,0,10,0,0,0,12,8,4,0,694,4245,1717,7.8
487,110,10,0,10,0,0,0,6,4,2,0,766,1639,133,4.0
1125,110,10,0,10,0,2,0,12,8,4,0,842,6174,0,7.0
421,110,10,0,10,0,0,0,11,9,2,0,523,3917,1177,9.2
1586,110,9,0,9,0,2,0,11,9,2,0,587,6498,0,7.7
374,110,9,0,9,0,3,0,8,6,2,0,1017,3570,5367,7.0
50,110,10,0,10,0,0,0,12,9,3,0,836,4598,1457,7.7
874,110,11,0,11,0,7,0,13,9,4,0,1465,8164,10497,8.0
894,110,10,0,10,0,0,0,11,9,2,0,1033,5976,0,7.3
1081,110,10,0,10,0,5,0,13,8,5,0,663,4276,0,7.8
856,110,10,0,10,0,2,0,13,9,4,0,723,4918,1926,7.5
924,110,10,0,10,0,6,0,12,9,3,0,1077,8700,4636,7.8
1032,110,9,0,9,0,0,0,11,8,3,0,1014,3875,929,6.8
689,110,11,0,11,0,0,0,13,5,8,0,1685,5083,252,4.0
1036,110,11,0,11,0,0,0,11,6,5,0,1080,2656,140,4.0
1713,110,9,0,9,0,2,0,13,8,5,0,461,4360,5290,6.8
120,110,10,0,10,0,1,0,13,8,5,0,991,0,1056,7.1
3945,110,0,0,0,0,0,0,2,1,1,0,17,561,923,1.0
732,110,11,0,11,0,2,0,10,7,3,0,1021,6469,3268,6.8
2526,111,13,0,13,0,3,0,0,0,0,0,7243,0,1723,4.0
2798,111,13,0,13,0,4,0,0,0,0,0,3336,0,3394,5.0
3680,111,0,0,0,0,0,0,0,0,0,0,283,0,1402,1.0
2976,111,13,0,13,0,7,0,0,0,0,0,1241,0,3413,9.0
2928,111,13,0,13,0,6,0,0,0,0,0,4730,0,3157,7.0
2842,111,13,0,13,0,5,0,0,0,0,0,1619,0,4774,7.5
2713,111,13,0,13,0,8,0,0,0,0,0,1655,0,6033,7.0
2791,111,9,0,9,0,8,0,0,0,0,0,732,0,2035,5.0
2974,111,13,0,13,0,7,0,0,0,0,0,1624,0,0,6.1
2841,111,13,0,13,0,7,0,0,0,0,0,1438,0,2239,4.0
4039,111,6,0,6,0,6,0,0,0,0,0,1928,0,1691,4.0
2084,111,10,0,10,0,2,0,0,0,0,0,842,0,2670,7.5
3669,111,13,0,13,0,4,0,0,0,0,0,2069,0,1221,3.0
3008,46,0,0,0,0,0,0,0,0,0,0,0,4,0,5.3
2810,46,0,0,0,0,1,0,5,5,0,0,0,11422,1956,5.7
423,46,0,0,0,0,1,0,4,4,0,0,0,7320,1474,2.8
382,46,0,0,0,0,1,0,5,5,0,0,0,9863,0,9.05
881,46,0,0,0,0,0,0,4,4,0,0,0,5626,343,9.1
383,46,0,0,0,0,0,0,1,1,0,0,0,812,0,5.8
2940,46,0,0,0,0,0,0,5,2,3,0,0,1712,234,6.55
1385,46,0,0,0,0,1,0,5,5,0,0,0,9162,0,7.8
1830,46,0,0,0,0,0,0,0,0,0,0,0,346,2364,4.1
2817,94,0,0,0,0,0,4,0,0,0,0,0,126,688,0.0
2803,94,0,0,0,0,0,4,0,0,0,0,0,203,961,3.8
2798,94,2,0,2,0,0,0,1,1,0,0,0,333,527,8.0
943,94,0,0,0,0,2,4,0,0,0,0,0,0,478,3.6
2942,94,2,0,2,0,0,4,2,2,0,0,120,497,262,9.5
2486,94,1,0,1,0,0,4,5,3,2,0,7,2338,394,3.25
4828,94,2,0,2,0,4,4,5,5,0,0,544,2090,4370,10.0
1223,94,1,0,1,0,0,4,1,0,1,0,0,523,182,0.0
3144,94,2,0,2,0,0,4,3,3,0,0,21,1633,66,5.5
3167,94,2,0,2,0,0,4,3,1,2,0,65,1248,308,6.5
2840,94,2,0,2,0,1,4,4,4,0,0,120,951,0,8.0
2584,94,1,0,1,0,0,4,1,0,1,0,217,717,0,3.2
2256,94,2,0,2,0,0,4,3,3,0,0,178,1071,504,5.5
2701,94,0,0,0,0,6,4,9,6,3,0,0,1774,5518,2.9
2363,94,2,0,2,0,0,4,13,13,0,0,605,2754,667,0.0
2292,94,2,0,2,0,0,4,4,4,0,0,266,1543,585,2.9
2714,94,2,0,2,0,0,4,8,7,1,0,120,1747,125,7.5
3680,94,2,0,2,0,0,4,2,2,0,0,26,768,0,2.6
2835,94,2,0,2,0,1,4,15,15,0,0,15,2497,2822,3.8
4838,94,2,0,2,0,0,4,2,0,2,0,120,1330,0,0.0
2666,94,2,0,2,0,0,4,5,4,1,0,9,1059,178,5.5
2712,94,0,0,0,0,1,4,0,0,0,0,0,126,2821,2.75
2669,94,2,0,2,0,0,4,3,3,0,0,0,1096,665,6.0
2138,94,1,0,1,0,0,4,7,7,0,0,0,1473,186,6.5
2976,94,2,0,2,0,0,4,16,16,0,0,185,2428,63,10.0
2928,94,2,0,2,0,0,4,3,3,0,0,261,932,1059,8.0
2296,94,2,0,2,0,0,4,6,6,0,0,73,1394,445,6.0
2695,94,0,0,0,0,1,4,0,0,0,0,0,8,466,2.4
2480,94,2,0,2,0,0,4,6,6,0,0,120,1324,496,8.5
2842,94,2,0,2,0,0,4,3,3,0,0,9,0,0,3.3
2713,94,2,0,2,0,1,4,18,18,0,0,121,4148,504,9.0
2062,94,1,0,1,0,0,4,4,3,1,0,0,938,2374,0.0
2192,94,0,0,0,0,0,4,0,0,0,0,120,358,2748,5.0
2845,94,2,0,2,0,0,4,1,0,1,0,182,274,925,5.0
2574,94,1,0,1,0,0,4,2,1,1,0,601,1024,1171,0.0
2173,94,2,0,2,0,0,4,3,2,1,0,120,1026,515,6.0
2704,94,2,0,2,0,0,4,3,3,0,0,5,925,1301,4.0
2435,94,2,0,2,0,0,4,4,3,1,0,29,698,136,6.5
2917,94,2,0,2,0,0,4,10,10,0,0,120,1992,23,8.0
2873,94,2,0,2,0,0,4,3,3,0,0,120,854,422,6.5
2183,94,2,0,2,0,0,4,0,0,0,0,120,316,333,5.0
3107,94,1,0,1,0,0,4,3,1,2,0,0,610,540,6.5
2974,94,2,0,2,0,0,4,10,10,0,0,52,2837,100,8.5
2841,94,2,0,2,0,0,4,7,7,0,0,120,1404,33,8.5
2837,94,0,0,0,0,0,4,4,4,0,0,9,1346,198,4.4
2769,94,2,0,2,0,0,4,1,0,1,0,120,786,0,5.0
673,94,2,0,2,0,2,4,5,5,0,0,240,1353,1608,0.0
4131,94,2,0,2,0,0,4,12,11,1,0,120,2233,699,8.5
2702,94,2,0,2,0,0,4,5,5,0,0,240,1262,524,0.0
2537,94,0,0,0,0,0,4,6,4,2,0,0,733,284,0.0
2778,94,2,0,2,0,0,4,14,14,0,0,120,2245,255,9.5
2938,94,1,0,1,0,0,4,3,3,0,0,0,990,1045,0.0
2082,94,2,0,2,0,1,4,12,12,0,0,9,1999,1179,5.5
3140,94,1,0,1,0,0,4,1,0,1,0,120,852,0,0.0
2609,94,0,0,0,0,0,4,0,0,0,0,0,208,120,2.4
2215,94,1,0,1,0,0,4,3,3,0,0,66,980,692,6.5
2694,94,1,0,1,0,0,4,3,3,0,0,0,998,29,4.0
2855,94,1,0,1,0,0,4,3,2,1,0,0,1231,1701,0.0
2862,94,2,0,2,0,0,4,3,3,0,0,120,1256,985,8.0
2606,94,0,0,0,0,0,4,0,0,0,0,0,131,21,0.0
3669,94,1,0,1,0,0,4,6,6,0,0,248,1408,81,5.5
2697,94,2,0,2,0,0,4,3,3,0,0,120,1245,327,7.0
2975,94,1,0,1,0,0,4,13,12,1,0,240,1860,375,3.5
2782,94,1,0,1,0,0,4,2,2,0,0,0,643,148,5.5
4253,94,1,0,1,0,0,4,2,1,1,0,0,867,0,5.5
2139,94,1,0,1,0,0,4,6,6,0,0,0,1064,87,6.0
2934,218,10,0,10,0,1,0,1,1,0,0,415,0,1417,6.0
2817,218,0,0,0,0,0,0,2,2,0,0,0,641,1032,3.5
2756,218,11,0,11,0,1,0,7,5,2,0,890,4667,5414,6.0
4672,218,0,0,0,0,1,0,0,0,0,0,0,360,1120,0.0
2526,218,11,0,11,0,1,0,5,4,1,0,1913,2257,1299,0.0
2798,218,11,0,11,0,0,0,4,4,0,0,1464,1066,921,3.5
943,218,0,0,0,0,1,0,2,2,0,0,0,504,865,0.0
2094,218,10,0,10,0,1,0,6,5,1,0,831,1574,1828,6.5
2893,218,0,0,0,0,0,0,0,0,0,0,0,129,0,0.0
2942,218,11,0,11,0,2,0,7,7,0,0,764,1687,2123,3.0
1455,218,11,0,11,0,1,0,8,7,1,0,503,4735,4413,5.5
3144,218,10,0,10,0,0,0,2,2,0,0,870,1237,100,2.5
2800,218,10,0,10,0,0,0,6,5,1,0,332,1996,721,5.25
2665,218,0,0,0,0,0,0,2,2,0,0,0,586,6,0.0
2840,218,11,0,11,0,1,0,5,5,0,0,721,1996,269,7.0
2302,218,10,0,10,0,0,0,3,2,1,0,159,2404,1717,2.0
2256,218,11,0,11,0,0,0,5,3,2,0,250,3186,0,7.5
2701,218,0,0,0,0,3,0,6,5,1,0,0,2040,6049,0.0
2714,218,11,0,11,0,2,0,6,6,0,0,533,2215,3215,5.0
3680,218,11,0,11,0,0,0,3,3,0,0,809,0,1137,2.5
2693,218,11,0,11,0,1,0,9,6,3,0,1436,4588,6243,0.0
