@relation 'edb-weka.filters.unsupervised.attribute.Remove-R34-35-weka.filters.unsupervised.attribute.RemoveType-Tnominal-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.instance.RemoveWithValues-S1.0-C24-Lfirst-last-weka.filters.unsupervised.attribute.Remove-R1,16-17,19-24'

@attribute W0 numeric
@attribute W1 numeric
@attribute W2 numeric
@attribute W3 numeric
@attribute W4 numeric
@attribute W5 numeric
@attribute W6 numeric
@attribute WEEKENDPCT numeric
@attribute MSG_TOTALSEND numeric
@attribute MSG_TOTALRECV numeric
@attribute MSG_MEANSEND numeric
@attribute MSG_MEANRECV numeric
@attribute MSG_TOTALSEND_WDS numeric
@attribute MSG_TOTALRECV_WDS numeric
@attribute TOTALQUEST numeric
@attribute NumberOfTests numeric
@attribute PassedTests numeric

@data
18,19,18,8,16,15,7,0.278481,13,6,19,29,272,283,1,9,4
1,7,9,12,3,6,6,0.375,7,4,119,210,253,189,0,1,0
7,5,4,8,5,3,5,0.275862,0,4,0,210,0,189,0,2,0
11,8,4,6,7,5,11,0.444444,17,3,4,69,428,159,0,19,11
3,10,2,4,3,3,4,0.318182,1,3,0,69,55,159,0,3,0
1,1,3,1,1,4,3,1,0,3,0,16,0,141,4,4,1
4,5,4,3,9,11,4,0.6,3,5,454,369,49,184,1,50,29
0,3,2,3,1,0,0,0,1,3,0,69,32,159,0,0,0
2,1,2,4,3,4,1,0.416667,0,4,0,210,0,189,0,0,0
8,6,3,2,2,1,0,0.047619,0,4,0,150,0,189,0,4,1
6,5,4,5,8,0,0,0,2,1,0,0,170,75,4,4,0
0,1,1,3,7,1,0,0.083333,0,3,0,263,0,153,0,0,0
0,0,0,0,2,0,0,0,0,3,0,263,0,153,0,1,0
7,3,4,5,7,1,0,0.038462,0,2,0,25,0,123,0,0,0
14,4,4,8,7,0,0,0,0,3,0,263,0,153,0,2,0
1,0,0,0,4,0,0,0,0,3,0,263,0,153,0,0,0
1,6,2,10,5,2,0,0.083333,0,2,0,25,0,123,0,0,0
13,13,4,6,16,13,4,0.326923,1,5,0,239,112,197,0,0,0
2,3,2,3,2,1,1,0.166667,36,4,-116,104,972,184,0,0,0
6,2,0,17,3,3,2,0.178571,0,4,0,210,0,189,0,0,0
3,2,1,1,0,1,4,0.714286,0,3,0,16,0,141,0,1,0
4,5,1,4,2,3,0,0.1875,0,3,0,16,0,141,3,3,0
6,1,1,3,4,3,0,0.2,0,3,0,263,0,153,0,0,0
45,35,48,22,37,20,17,0.197861,0,3,0,263,0,153,0,160,64
17,21,15,13,17,3,8,0.13253,1,3,0,243,42,145,10,97,69
8,20,14,9,9,12,29,0.683333,2,6,8,219,94,285,4,96,69
1,5,2,3,5,1,2,0.1875,0,5,0,239,0,198,0,0,0
2,4,10,2,5,1,0,0.043478,0,4,0,276,0,182,0,0,0
2,1,0,1,6,14,3,1.7,0,3,0,16,0,141,0,0,0
3,4,3,4,2,3,3,0.375,15,5,4,245,391,197,0,6,0
2,0,2,0,0,0,0,0,0,3,0,16,0,141,0,0,0
9,2,2,5,4,10,12,1,51,5,8,219,1578,208,0,25,1
15,8,6,7,1,5,7,0.324324,15,5,3,245,408,219,0,3,1
11,11,14,14,11,7,15,0.360656,1,5,0,226,24,204,26,100,71
13,6,4,8,8,16,9,0.641026,627,0,5,0,45383,0,0,0,0
5,2,5,7,7,4,3,0.269231,10,2,48,25,270,123,0,32,31
8,6,6,0,5,6,12,0.72,0,4,0,271,0,168,18,25,11
6,1,6,1,7,2,1,0.142857,16,6,113,218,424,231,0,11,6
3,0,2,3,2,3,2,0.5,7,3,0,285,182,152,0,2,0
18,15,13,6,18,17,24,0.585714,1,4,0,252,31,159,0,49,28
3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,36,29,33,26,2,1,0.019231,3,5,83,239,125,277,209,592,491
10,7,2,10,8,3,2,0.135135,4,6,9,239,346,239,0,2,0
0,3,1,0,1,2,0,0.4,0,4,0,214,0,172,0,2,0
8,9,16,2,8,5,11,0.372093,0,7,0,233,0,269,0,0,0
15,9,5,8,16,8,5,0.245283,0,3,0,16,0,141,3,15,2
2,2,4,3,3,3,0,0.214286,7,6,96,247,234,230,9,150,64
0,5,1,2,4,3,3,0.5,0,5,0,240,0,213,0,0,0
12,4,0,3,3,0,2,0.090909,0,5,0,240,0,196,0,2,0
4,10,14,9,7,5,8,0.295455,0,0,0,0,0,0,0,6,3
16,12,4,5,3,14,0,0.35,0,4,0,197,0,171,1,1,0
3,2,2,0,2,0,1,0.111111,9,4,0,197,224,171,0,0,0
17,24,12,15,13,0,1,0.012346,0,4,0,197,0,171,0,5,0
1,0,0,1,2,7,8,3.75,0,3,0,263,0,153,0,0,0
0,1,3,1,0,0,3,0.6,0,3,0,263,0,153,0,10,1
5,4,1,3,0,3,2,0.384615,0,3,0,263,0,153,0,0,0
0,1,0,0,0,0,1,1,0,3,0,263,0,153,0,0,0
0,0,0,0,0,2,0,0,0,3,0,263,0,153,0,0,0
4,1,0,6,1,2,0,0.166667,0,3,0,263,0,153,0,7,2
5,1,3,3,4,5,1,0.375,0,3,0,16,0,141,0,0,0
0,2,0,0,0,4,4,4,0,3,0,16,0,141,0,0,0
0,0,2,0,0,0,0,0,0,3,0,16,0,141,0,0,0
0,1,2,0,3,5,1,1,0,1,0,0,0,75,0,0,0
2,4,4,4,2,3,1,0.25,0,0,0,0,0,0,1,1,1
9,7,4,7,4,3,14,0.548387,0,3,0,16,0,152,16,16,11
17,30,11,9,2,5,5,0.144928,73,2,13,25,1908,123,20,21,8
4,2,3,4,7,0,1,0.05,0,2,0,25,0,123,0,0,0
2,2,0,1,3,3,2,0.625,0,2,0,25,0,123,0,0,0
17,13,4,5,3,5,4,0.214286,0,2,0,25,0,123,4,4,0
10,8,6,12,9,5,7,0.266667,307,1,0,0,5526,75,0,0,0
35,30,21,8,23,27,15,0.358974,8,3,0,16,224,141,45,45,26
2,2,1,2,2,0,2,0.222222,0,3,0,16,0,141,0,0,0
2,1,1,4,4,10,0,0.833333,7,3,0,16,182,141,27,27,19
5,3,3,6,5,7,0,0.318182,0,3,0,16,0,141,33,33,31
8,5,11,4,3,15,4,0.612903,0,3,0,16,0,141,0,0,0
0,1,0,0,1,5,0,2.5,0,3,0,16,0,141,1,1,0
2,6,4,3,2,2,2,0.235294,0,3,0,16,0,141,21,21,15
6,7,4,9,6,4,6,0.3125,0,3,0,16,0,141,26,26,10
10,6,6,2,5,11,4,0.517241,0,3,0,16,0,141,4,4,1
21,23,18,13,23,22,7,0.295918,7,0,0,0,175,0,51,51,30
2,1,8,4,1,1,0,0.0625,0,3,0,16,0,141,1,1,0
4,5,6,2,12,13,4,0.586207,0,3,0,16,0,141,3,3,0
5,1,3,4,1,0,0,0,0,3,0,16,0,141,0,0,0
4,3,0,0,6,3,9,0.923077,0,3,0,16,0,141,0,0,0
1,2,10,1,1,4,2,0.4,0,3,0,16,0,141,0,0,0
4,7,5,12,6,2,1,0.088235,0,3,0,16,0,141,0,0,0
3,1,11,7,0,0,0,0,9,3,0,16,216,141,0,0,0
3,4,2,0,4,3,0,0.230769,25,3,-5,16,566,141,0,0,0
3,3,4,3,3,8,3,0.6875,0,3,0,16,0,141,0,0,0
3,0,5,0,1,5,5,1.111111,0,3,0,16,0,141,0,0,0
0,0,5,1,0,1,0,0.166667,8,3,0,16,184,141,0,0,0
11,5,16,1,3,0,0,0,0,3,0,16,0,141,1,1,0
4,8,1,4,13,2,0,0.066667,0,3,0,16,0,141,0,0,0
15,13,12,8,6,4,4,0.148148,0,3,0,16,0,141,106,107,56
9,9,7,8,4,8,9,0.459459,0,0,0,0,0,0,0,0,0
25,39,20,4,10,14,41,0.561224,8,4,5,14,416,280,430,431,391
16,9,12,6,10,9,8,0.320755,0,3,0,16,0,141,13,13,8
14,2,6,1,1,7,17,1,0,3,0,16,0,141,30,30,24
11,16,2,3,6,14,6,0.526316,36,3,9,16,787,141,2,2,0
7,0,5,7,0,5,0,0.263158,16,3,0,16,368,141,11,13,1
3,3,1,1,0,3,6,1.125,0,3,0,16,0,141,0,0,0
3,4,11,2,3,11,4,0.652174,1,3,0,16,43,141,11,11,5
2,5,6,7,5,5,7,0.48,8,3,0,16,48,141,0,0,0
0,3,1,0,16,9,0,0.45,0,4,0,40,0,147,0,0,0
8,9,4,6,7,5,6,0.323529,0,3,0,16,0,141,0,0,0
6,0,0,0,0,3,1,0.666667,0,2,0,25,0,123,0,0,0
5,3,6,4,5,7,5,0.521739,0,2,0,25,0,123,3,3,3
